model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
base,48,100,100,15.833129041553685,0.008919010169039288,15.83312904155268,1.775805764633855,0.8981,21.35812440750678,14.802404844068255,6.555719563438524,0.016249240407398835,0.0077613674838844515,0.6849999999999999,1.0,11.474632481847616,10
instruct,0,100,100,0.0,6.061817714453355e-14,0.0,0.0,0.5,0.0,0.0,0.0,6.061817714453355e-14,6.061817714453355e-14,0.0,0.5,0.0,10
instruct,1,100,100,10.732020754318754,0.0001050942550340217,10.732020754317766,0.2878493612314257,0.6562,77.61329542584303,70.99166145351771,6.621633972325327,0.004995141617216703,0.00414076817665987,0.5,0.9730000000000001,7.9245051085959375,10
instruct,2,100,100,15.714422934392365,0.00021755745971796525,15.714422934391374,0.5468815570136278,0.801,80.25477896222704,73.41144724448964,6.843331717737399,0.005446508471146583,0.0045406641839254025,0.6,0.985,12.082546710972018,10
instruct,3,100,100,25.03857388693895,0.0006791295875114844,25.038573886937982,0.5750882960933987,0.692,96.37388372720993,88.76633168138123,7.607552045828697,0.009062242960715117,0.007734520869072781,0.525,0.9949999999999999,22.77169309298933,10
instruct,4,100,100,24.462554902082328,0.0011351239296155669,24.462554902081322,0.42228954210178327,0.7009,88.76465418769529,84.37907847442618,4.385575713269105,0.014581581325197268,0.013142513389833965,0.5,1.0,22.39932756694612,10
instruct,5,100,100,37.09833094434931,0.0007060098393487646,37.09833094434839,0.4752226503563497,0.6746,185.66857256174487,196.27303650964475,-10.604463947899887,0.009726840344262744,0.009518603261801983,0.685,0.9260000000000002,33.79472979155403,10
instruct,6,100,100,55.33673537004988,0.0011351500528646863,55.336735370049155,1.1028313280250395,0.7913,142.43564062837618,148.70360499788583,-6.267964369509656,0.008551897352322646,0.008014884191631655,0.71,0.901,47.25665718164134,10
instruct,7,100,100,63.152374281225626,0.0018582035178641432,63.152374281224596,0.9328983366886908,0.763,173.82742342092993,172.60986889981984,1.2175545211100882,0.0101433011085309,0.009469403423230549,0.53,0.967,42.86041391767233,10
instruct,8,100,100,71.83653735780291,0.0007440593818185404,71.83653735780217,0.5747245486586504,0.6986,188.13480353429853,191.34826156214353,-3.2134580278450073,0.0035548344058335957,0.0032831936325428135,0.45999999999999996,0.873,33.87786529336355,10
instruct,9,100,100,95.67107623891516,0.0004043704411179627,95.6710762389148,0.25278881378262913,0.6376,329.6954388929606,278.0643117999007,51.631127093059945,0.0018351244424258395,0.0016341622800039035,0.47000000000000003,0.8150000000000001,72.65962790300358,10
instruct,10,100,100,98.76839908609679,0.000532857889428584,98.76839908609588,0.4797152962457077,0.6692,434.9968469030329,414.2465013630026,20.75034554003031,0.0017482582890043785,0.0016729505556276614,0.575,0.769,36.76064359472942,10
instruct,11,100,100,166.07806100202905,0.0002186080729051909,166.07806100202743,0.17122596252856764,0.6086,620.0903382564813,515.3769901809594,104.71334807552194,0.0007080389992411007,0.0006364899600189711,0.49499999999999994,0.758,123.30367873667619,10
instruct,12,100,100,181.87464388821294,0.0003298678326399962,181.87464388821263,0.2489347021678465,0.6327,705.0138011925113,783.4016405248427,-78.3878393323314,0.0008381002455757347,0.0007302340567713062,0.53,0.845,134.215649132112,10
instruct,13,100,100,200.08063553638684,0.00036772704738663453,200.08063553638567,0.4161320627751979,0.6532,1023.2617552936218,958.8638966436097,64.39785865001215,0.0008656090763926594,0.0008057965951885349,0.5900000000000001,0.663,44.12014732182155,10
instruct,14,100,100,401.6310729162476,0.00017195262828562097,401.6310729162469,0.2590060668298094,0.5875,792.3214924012385,1093.416049758772,-301.0945573575335,0.0003488736084132915,0.0003391916961043018,0.5599999999999999,0.78,357.4607543576188,10
instruct,15,100,100,272.7159985649063,0.00012943972100087908,272.71599856490457,0.8063745506543615,0.7729,1370.08481298301,1405.014692416996,-34.929879433986116,0.0002500302112831143,0.0002430246255376023,0.55,0.5509999999999999,-85.82094191933334,10
instruct,16,100,100,411.10450858523376,0.00011601742975086982,411.1045085852347,0.31744589137086704,0.6098,1157.332343210817,929.3051926507519,228.02715056006514,0.0002068843199938275,0.00020952268484153436,0.6199999999999999,0.584,46.527576988082885,10
instruct,17,100,100,369.2625477151917,0.00012158430091013805,369.2625477151905,1.2116509556546713,0.8203,1151.7541380220048,1181.8533368682727,-30.099198846267882,0.0002489678583065258,0.00022694129440870014,0.62,0.687,89.72442365570501,10
instruct,18,100,100,490.1740462163568,0.00014451955216765455,490.17404621635615,1.5144268873318654,0.8629,1534.723097764735,1583.5744546065291,-48.851356841794086,0.0002333713456855735,0.00021594133751978717,0.6900000000000001,0.8119999999999999,204.20240977668124,10
instruct,19,100,100,580.7419013354963,0.00013486836215581555,580.7419013354938,0.6553770740694657,0.7075,2580.575189130932,2452.021571556148,128.55361757478386,0.00021701001001916964,0.00019856377357918564,0.58,0.6699999999999999,148.56482412808623,10
instruct,20,100,100,654.8669925075319,0.0001444580133961315,654.866992507531,0.8734422835807627,0.7574,2957.5648794236376,3042.3874218892443,-84.8225424656066,0.00024125776839611923,0.00020605643074622648,0.56,0.599,-239.01737993919315,10
instruct,21,100,100,1089.76398933128,0.00013396312708524594,1089.7639893312698,0.2771560235116773,0.6321,2595.9358017161717,1803.0902613632911,792.8455403528806,0.00023316841439180447,0.00019582820588315286,0.57,0.6499999999999999,741.2774417928831,10
