model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
base,target,target,32,100,77010.3248068253,14321.104587541011,0.1859634357271501,19005.25817392549,0.01207651695332559,0.9939564627202241,0.0032875210807182123,0.006043537279775912,1964.2055219444758,0.00012839464367597753,1.5618587002451025,0.9494170311852991,0.20616328883437146,0.7954575796965508,245350872.9011595,4167.555971852067,0.000780347842849638
base,target,target,33,100,78499.45891859233,15369.798353395905,0.19579495916443346,20323.59875534718,0.014189169515698435,0.9928944768386203,0.004167115042911256,0.00710552316137969,2167.3298761049045,0.0001374337661882441,1.6113744808241226,0.9903502453127383,0.215051823345427,0.7823225367293458,275652527.63007087,4348.393696270209,0.0008262836325485523
base,target,target,34,100,82072.42344712594,16399.574248670055,0.1998183258136061,21618.075844379382,0.015818129190965237,0.9920776859563848,0.004522726565666007,0.007922314043615208,2427.6504293348303,0.00014974933916611644,1.6977533540640952,1.061865594615665,0.23058118413224932,0.760655562768322,305482462.0990872,4469.024748511879,0.0009178030082865885
base,target,target,35,100,92173.60661525073,17630.0468880926,0.1912700124850663,23228.039721189365,0.016463104762341897,0.9917634891015835,0.005123682250740496,0.008236510898416483,2919.3012609161524,0.00012902043679252628,1.8292138299640242,1.1504832967299883,0.24982427364584767,0.730309106552513,346503580.1486029,4332.255958238306,0.0008334215667185063
base,target,target,36,100,93559.7413969772,18845.1009271692,0.20142318315319818,24883.49919712751,0.018753977020781482,0.9906107481918931,0.005788286490770592,0.009389251808106902,2945.296473323646,0.00014528934891944179,1.9027873030911435,1.1976147712733403,0.26005874330491835,0.7143631027225398,395096981.4605186,4828.773970466273,0.0009183589055611341
base,target,target,37,100,103344.10904627596,21978.077577016546,0.21266889598104802,28972.24647752456,0.01857893699648138,0.9906880098780318,0.005915837817375932,0.00931199012196815,3375.242429211751,0.00013476308342263987,1.7556103164927488,1.0847940051624452,0.2355600252218888,0.7458136200298205,547226301.9118849,4868.569768269838,0.0008400432842804451
base,target,target,38,100,110530.06223824604,23440.82357210298,0.21207645320579488,30976.54819961844,0.019227160964141086,0.9903609710732727,0.006726423978795859,0.0096390289267273,3780.853818461477,0.00012850842485534475,1.7717959656914608,1.0892018781442676,0.23651718267835675,0.7418243188232768,627834460.7159741,4904.816914349556,0.0007754404061115494
base,target,target,39,100,118198.13643124425,25033.35734685041,0.21179147237581275,33047.31988311352,0.020223460015584695,0.9898610061624796,0.007488856376381831,0.010138993837520371,4177.216864579539,0.00012134356177806449,1.818159463229633,1.1169277814737117,0.24253778608923704,0.7312250573698941,711958727.1094608,4805.4900154333545,0.0007411858055581533
base,target,target,40,100,129124.29646209774,27270.546195171846,0.21119608735430093,35950.15892489599,0.021387535375629162,0.9892768596842589,0.007970590888150553,0.010723140315741064,4681.470705793523,0.0001187601671615024,1.898006275170914,1.1582654071732568,0.25151413745738427,0.7130877087749987,833116490.9453721,4917.06509584949,0.0007093891974182531
base,target,target,41,100,145498.43860622274,27290.649330070286,0.18756661302689132,36400.58142541138,0.01939310808888372,0.9903090371341189,0.006324646126687661,0.009690962865881114,5140.371007342529,0.0001086575806193979,2.263986615526513,1.328260454609799,0.28842809298367017,0.6405622100537275,827142343.7502809,5295.751197370064,0.0006598775170097992
