condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target_word_shuffle,5,100,0.9970645224502093,145.92655863455317,21.432687330712564,0.0058994885813167895,1079.3571860713887,985.4442980152957,0.9125625708599021
target_word_shuffle,6,100,0.9834674014486896,194.98702004542463,69.10851383732337,0.008675014051296661,1187.5970318407867,1081.981739752089,0.9214949270500079
target_word_shuffle,7,100,0.9862472844207917,214.29726432059658,65.9090144881365,0.009980997372658064,1243.0000043141015,1104.8527640481893,0.8908747601936214
target_word_shuffle,8,100,0.9860107813796599,295.7981860127492,113.16635692666183,0.0037919139900624045,2126.9939741595595,1891.104873239282,0.892277858331896
target_word_shuffle,9,100,0.9767863819840226,477.9846036686455,221.4384291704652,0.0019691357548141265,3319.2648357181934,2887.306485090833,0.8771920638367346
target_word_shuffle,10,100,0.9689596201324485,473.7098940370488,310.8369725021425,0.0023045876465963944,3485.354583719665,3104.772918823415,0.907271152202229
target_word_shuffle,11,100,0.9577593439234874,665.3155566617102,314.0625994174348,0.0009043558253678197,6488.296183211454,5890.844030358774,0.9092532198542729
target_word_shuffle,12,100,0.9245097600211407,953.7277936628085,494.6485709778549,0.0010890114535640327,7147.401212200295,6256.061664650516,0.8799861253789274
target_word_shuffle,13,100,0.8237474959225036,874.4671082400876,487.7816083547445,0.0012295527753990987,7843.289559936474,7166.8375193572665,0.9181862838219973
target_word_shuffle,14,100,0.8829763683880132,1449.3745173521154,579.1709814348945,0.0005778237337691595,13634.066667379066,12264.059718887469,0.9010218283318503
target_word_shuffle,15,100,0.8420993485350942,1545.6780117678347,691.546863822443,0.0004289114174320241,18139.02494061475,16731.184021163484,0.9236486780062642
target_word_shuffle,16,100,0.7886167546861027,1995.2892952514285,943.5736385906968,0.00039158107526735984,23076.51086574187,21301.73626057669,0.9252880748504414
target_word_shuffle,17,100,0.5557582610136649,2145.6842468482287,1403.5922476649955,0.00043820257762584023,25755.219933466873,24122.953186535113,0.9417945243571562
target_word_shuffle,18,100,0.4903138930596025,2479.891602706053,1497.941371276507,0.00048025610529401686,30317.503705514922,29394.17522604082,0.9779758733145638
target_word_shuffle,19,100,0.5062000591769913,3049.4731767718536,1818.3832372901595,0.00045823348284339315,34839.74569736537,36409.65153835655,1.0517488535637112
target_word_shuffle,20,100,0.5906747637840593,3603.8633370820853,1943.3932468079186,0.0004890535500412618,37551.46196514077,39905.57252967381,1.0695780431338864
target_word_shuffle,21,100,0.6385740666781351,3970.4114884339006,2038.6901291251263,0.0004935504399901835,40452.088848892476,43442.951604871116,1.0795835163927245
target_word_shuffle,22,100,0.8366533159789838,5013.995462051188,2363.142251461485,0.0005540938700220199,45442.12483091556,49904.66305368809,1.1028729181991723
target_word_shuffle,23,100,0.8820177346054094,4833.16063906778,2569.498143156256,0.000656591756202507,51900.230912523075,55992.28783844113,1.0836850105525582
