model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,control,control,10,100,3840,3526.7906647554755,1359.2845577234848,0.38541685258139025,1693.688718861384,0.036459124843040584,0.9807810121533668,0.003582605471639898,0.01921898784663323,1.3880372457617505,0.6837778406911741,0.14848047152994884,0.8454079759526091,2076243.5045786158
base,control,control,11,100,3840,6909.368535315274,1757.8907717652576,0.25442133572414005,2212.6584099528923,0.01141422902996787,0.9942352035545566,0.0020275794804941434,0.005764796445443365,1.2663650940277609,0.5504520939630664,0.119529153480125,0.8869848445695458,3685921.888520747
base,control,control,12,100,3840,7052.653036063039,1897.8057575451946,0.26909104245465554,2422.501286886684,0.013029558145112313,0.9934052814766701,0.0023660973019092152,0.006594718523329934,1.2696796560589247,0.5577213658545477,0.12110765581508737,0.8858124189072549,4368607.266755958
base,control,control,13,100,3840,8064.546622189132,1772.5712933391933,0.2197980092844979,2342.2733894130815,0.011538014749191416,0.9942138106264415,0.0023112071374331105,0.005786189373558459,1.3779700317131003,0.7011189400441854,0.15224604340952327,0.8489540284023448,3979402.8758891285
base,control,control,14,100,3840,14026.393339607956,2153.955210480529,0.1535644380083193,2951.0452850920005,0.004787105099982796,0.9976162469578728,0.0009800981262511096,0.0023837530421272346,1.2816528637519808,0.5868695466355409,0.12743710285043924,0.8816295000846363,6558166.252928051
base,control,control,15,100,3840,18425.436821327196,2405.765974466842,0.13056764937492285,3375.4952578032407,0.003154080148070638,0.9984326102513741,0.0007080016802164538,0.0015673897486259136,1.2524174084033897,0.5478973134478032,0.11897438993999862,0.8921937795384677,8465110.493080212
base,control,control,16,100,3840,23152.54729775592,2154.3806154604013,0.09305155876602902,3084.1567344433684,0.002451799115088288,0.9987838815871756,0.0005871971094693037,0.0012161184128244296,1.440347735970019,0.7886987297217435,0.1712637531011287,0.8295538096762979,6720665.714033412
base,control,control,17,100,3840,26287.012707127997,3194.480868962326,0.12152316067835693,4521.778722910747,0.0022089657691254433,0.9989027169539894,0.00037858731760244966,0.0010972830460106442,1.2073886479517226,0.4922126153016619,0.10688261137433991,0.9092655641337277,14493372.150326537
base,control,control,18,100,3840,30809.890323797274,3013.3137482883467,0.09780345585848746,4526.8007127265355,0.002025781110756391,0.9989944206146274,0.0004250313433249732,0.0010055793853726014,1.2390261074664528,0.5498481559703368,0.11939801001129789,0.8973438800653473,16323795.609448727
base,control,control,19,100,3840,35325.91772099751,3443.0649831588316,0.09746569106433418,5222.305770980275,0.0018957456446299752,0.999058763852694,0.0003831358443882441,0.0009412361473060127,1.2017674570086214,0.4894398929339661,0.10628052236226992,0.9114438913623215,23489067.038939524
base,control,control,20,100,3840,38210.112600034445,4264.620961093602,0.11160974597833971,6429.283595094607,0.0018309788222057664,0.9990900771009305,0.00038209217524294553,0.0009099228990695485,1.1462610333209073,0.3886027871934673,0.08438402306517324,0.9336181357507817,34866120.75666087
base,control,control,21,100,3840,41751.545112695065,4377.807866797408,0.10485379295498892,6710.519087578359,0.0017835657834469032,0.9991137592168673,0.00039591360598954995,0.0008862407831327079,1.1485348107098126,0.3920247877563863,0.08512710104594601,0.932671372914894,40194337.344704896
base,control,control,22,100,3840,47812.43571800608,6592.312573103176,0.13787861827379194,9156.564105456548,0.001822826336275027,0.9990921009042179,0.0004883225376822299,0.0009078990957821498,1.0998598961765191,0.29048182588824034,0.06307732703822197,0.9533196755782629,72001573.05702388
base,control,control,23,100,3840,53441.69607354194,7947.570786034676,0.14871479331602613,10762.558742886746,0.0021727343816304264,0.9989172756562442,0.0005078658269426479,0.001082724343755781,1.1140696358344417,0.31920983789150137,0.06931553558275529,0.9471321213784297,95824253.00022297
base,control,control,24,100,3840,59878.597117561076,10555.375936284276,0.1762796131572798,13771.185074065908,0.002504508455508329,0.998745982826566,0.0006517426104514762,0.0012540171734339856,1.088044069686727,0.26572138332059864,0.05770066524991738,0.9585395337534448,150833151.25571546
base,control,control,25,100,3840,65103.35816734148,11169.009567394598,0.17155811745817795,14520.31508419035,0.0027363123558888603,0.9986285725969785,0.0007115162178489984,0.0013714274030215412,1.0978197057776353,0.286342542402031,0.06217849304967498,0.9542151163790548,170818248.33679125
base,control,control,26,100,3840,66892.69441536441,10929.288117638296,0.16338537732945582,14267.763841628788,0.0032475515714408187,0.9983742092685354,0.0008076632979048252,0.001625790731464627,1.1331144634731927,0.35971138389224094,0.07811033455109125,0.9390615822387036,165308972.59898013
base,control,control,27,100,3840,69373.65188172752,12794.169971005882,0.18442405184057734,16718.433663117055,0.004568378210007127,0.9977063545778476,0.001171924967128864,0.0022936454221523794,1.1510783921757837,0.3919224350022234,0.08510487542777574,0.9315887599074447,221279871.57487887
base,control,control,28,100,3840,70979.66031424327,11881.417377700895,0.1673918602188166,15609.852922661352,0.0060136755171013795,0.9969925132472455,0.0013893926456800922,0.003007486752754529,1.2865316185871574,0.6068601771419141,0.1317780131097816,0.8798864087946342,190552248.06043085
base,control,control,29,100,3840,74685.94679542581,12267.461860085996,0.16425395119764785,16273.364996154965,0.007469186854369686,0.9962684087687763,0.0016233704011504452,0.0037315912312236854,1.4147673775952634,0.77116362610557,0.16745605373107575,0.8375204570164672,194951275.9790192
base,control,control,30,100,3840,73857.16474957859,12845.535037087562,0.17392402051502873,17023.39437986435,0.009176713319108179,0.9954088623228385,0.0022726225550974643,0.004591137677161461,1.4487617851772163,0.8120350974738322,0.17633118097232725,0.8273075513529794,208574443.79904553
