condition,condition_family,layer,rel_disp_l2_mean_base,pairwise_cosine_distance_mean_base,angular_disp_to_centroid_base,effective_rank_pr_base,spectral_entropy_norm_base,top1_pc_variance_share_base,centroid_norm_base,rel_disp_l2_mean_instruct,pairwise_cosine_distance_mean_instruct,angular_disp_to_centroid_instruct,effective_rank_pr_instruct,spectral_entropy_norm_instruct,top1_pc_variance_share_instruct,centroid_norm_instruct,rel_disp_l2_mean_instruct_minus_base,rel_disp_l2_mean_instruct_over_base,pairwise_cosine_distance_mean_instruct_minus_base,pairwise_cosine_distance_mean_instruct_over_base,angular_disp_to_centroid_instruct_minus_base,angular_disp_to_centroid_instruct_over_base,effective_rank_pr_instruct_minus_base,effective_rank_pr_instruct_over_base,spectral_entropy_norm_instruct_minus_base,spectral_entropy_norm_instruct_over_base,top1_pc_variance_share_instruct_minus_base,top1_pc_variance_share_instruct_over_base,centroid_norm_instruct_minus_base,centroid_norm_instruct_over_base
target,target,10,0.3959312846386359,0.039996963416029686,0.019341300607494616,1.361604237891426,0.2750247930388767,0.8538853108143777,3598.8251119938845,0.3747671643819514,0.04553633590414832,0.02175436725253821,1.5617625607538512,0.35663762856932335,0.7937271867125263,2997.28994620511,-0.021164120256684515,0.9465459763379208,0.0055393724881186365,1.138494825953715,0.0024130666450435934,1.1247623773027853,0.2001583228624253,1.1470018359896137,0.08161283553044663,1.2967471936888735,-0.060158124101851396,0.9295477702439848,-601.5351657887745,0.8328523484556041
target,target,11,0.2579440630633056,0.012612871322222722,0.0058139514158004335,1.2598107015332314,0.22837026682715444,0.8893327299186876,6963.086312175005,0.2466510578968667,0.013628574279165308,0.006274134442494583,1.343175709716238,0.274666389223858,0.8602988858002139,6066.038397425166,-0.011293005166438885,0.9562191700274818,0.0010157029569425862,1.0805290825470075,0.0004601830266941498,1.0791515086218935,0.08336500818300663,1.0661726464781434,0.046296122396703554,1.2027239493070294,-0.02903384411847376,0.9673532265903497,-897.047914749839,0.8711709327541517
target,target,12,0.2396323867176145,0.013038896063532653,0.0059760869527046845,1.3266590785109094,0.266233233342087,0.8658213941913427,7499.087954298168,0.22678599298790844,0.015214538158223016,0.006954324401592826,1.49353014102146,0.343195745859103,0.8135683533707575,6317.209704827626,-0.012846393729706057,0.9463912457467997,0.0021756420946903634,1.1668578446306024,0.0009782374488881418,1.1636919702585173,0.16687106251055073,1.125782927364223,0.07696251251701602,1.2890792841659882,-0.05225304082058524,0.939649168786909,-1181.878249470542,0.8423970679270218
target,target,13,0.21853211846782938,0.011550977390213112,0.005270067246659238,1.3516942564727707,0.2813635288814139,0.8575171371735979,8574.569189237709,0.23611827997325616,0.014713852750536568,0.0067316665454209,1.384286985559445,0.29885505569673293,0.8469878991598614,7048.529794621862,0.017586161505426773,1.080474035705352,0.003162875360323456,1.2738188511847899,0.0014615992987616622,1.2773397812733505,0.03259272908667432,1.0241125009813243,0.017491526815319014,1.0621670011170106,-0.010529238013736508,0.9877212506219656,-1526.0393946158474,0.8220272807954896
target,target,14,0.14577187380849188,0.0047686252596408595,0.0021576076256561993,1.3003425398596624,0.25723832708816086,0.8750446734865954,14943.223931904473,0.13628225815924103,0.005531692288913504,0.0024998190198453063,1.4403474885108667,0.3271499225672658,0.8295406463781718,12975.02054527024,-0.009489615649250854,0.9349009146808885,0.0007630670292726443,1.160018241435498,0.00034221139418910695,1.1586068703879475,0.14000494865120428,1.1076677447353267,0.06991159547910497,1.2717775234709603,-0.045504027108423606,0.9479980525702055,-1968.2033866342335,0.8682879012184225
target,target,15,0.13343011919914313,0.0031726972084015303,0.0014329957363379275,1.2386359071061799,0.2215057348723206,0.897275955186771,19663.871168343958,0.12742720659687745,0.0036503028240010456,0.0016476497487489805,1.3194974082022832,0.26859549691060786,0.8683961640751187,17484.439262923457,-0.006002912602265681,0.955010812856568,0.00047760561559951524,1.1505361473462532,0.00021465401241105297,1.1497938938812304,0.08086150109610335,1.0652827038447112,0.04708976203828727,1.2125893583036031,-0.028879791111652287,0.967813925085501,-2179.4319054205007,0.8891656741054591
target,target,16,0.08282759530531558,0.002552908818678068,0.0011503691847354336,1.6765921864341902,0.41631687270020284,0.7645577809938318,24013.983748286413,0.09355813820483293,0.0029540105355490356,0.0013319520983262612,1.5629413766709646,0.3792845209444872,0.7943852717638287,21630.031493959777,0.010730542899517345,1.1295527518194064,0.0004011017168709676,1.1571155666740767,0.00018158291359082757,1.1578475109055892,-0.11365080976322561,0.9322132056419321,-0.03703235175571562,0.9110476798203317,0.02982749076999691,1.0390127358722134,-2383.9522543266357,0.9007264983888086
target,target,17,0.11265919950440481,0.002225377379848196,0.0010042070027317385,1.2481474922957445,0.23174324382896402,0.8939250518033544,27483.04030191609,0.09016516695734661,0.0026097587171667646,0.001176490790349094,1.4714836449634083,0.3461109028958509,0.8205106265963592,25010.097314695475,-0.0224940325470582,0.8003355904638835,0.0003843813373185685,1.172726360763163,0.00017228378761735552,1.1715620245398917,0.22333615266766382,1.178934103577533,0.11436765906688687,1.493510219222621,-0.07341442520699515,0.9178740711429768,-2472.9429872206165,0.9100193079057485
target,target,18,0.08769861616387692,0.0020243739033260796,0.0009125977358280801,1.3322410633872785,0.2809403681382048,0.8643760300647785,32541.092754400554,0.09816175081468864,0.00241550490756399,0.0010894755455643779,1.361389704628682,0.29751207701906435,0.854788880731882,29838.166996829917,0.010463134650811723,1.1193078649056514,0.00039113100423791023,1.193210850229824,0.00017687780973629774,1.1938179348888949,0.029148641241403483,1.0218794045923414,0.01657170888085957,1.0589865706719954,-0.009587149332896505,0.9889085895485014,-2702.925757570636,0.9169380764816167
target,target,19,0.08862422954854647,0.0018944971957921947,0.0008541418832404002,1.2668519731857786,0.24375818015642986,0.8870906890003379,37266.83237576191,0.10927244349187874,0.002014173568902433,0.0009089385936562611,1.2149359081327875,0.21061209653678065,0.9063280364686925,36381.04945832025,0.020648213943332272,1.2329861037696088,0.00011967637311023844,1.0631705194987235,5.479671041586087e-05,1.0641541065095903,-0.05191606505299107,0.9590196280600994,-0.033146083619649214,0.8640206306133316,0.019237347468354593,1.0216858859030653,-885.7829174416547,0.9762313333070465
