model_tag,condition,condition_family,layer,n_points,d_model,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace
base,target,target,34,10,3840,80723.96137577448,14737.862409089232,0.18257109980621083,21173.315569328166,0.016573443418642968,0.9924718054588236,0.004084985217524404,0.0075281945411763695,1.9190294966826855,1.1090169867214938,0.48163995767011664,0.7087744851791613,270094655.39341664
base,target,target,35,10,3840,90762.6661210391,15861.500539663122,0.17475798384448704,22857.245129450963,0.01728715677741192,0.992153660665352,0.004710141420436534,0.007846339334647956,2.096078462539704,1.1958880599426265,0.5193675854070678,0.6734060346990692,310032683.77359897
base,target,target,36,10,3840,91965.714181419,17249.13720886706,0.1875605203787144,25014.989759005108,0.01979179236834411,0.9910084841118918,0.005424612937572866,0.008991515888108204,2.1160564403006457,1.2034997575117177,0.5226733036592406,0.669104764496166,370751400.2308738
base,target,target,37,10,3840,101411.66114512585,20189.589789979003,0.1990854854560222,29335.672393998182,0.019617840091581767,0.9910778387834045,0.005597742127179585,0.008922161216595503,1.8927192390905576,1.0808809265464734,0.4694206219936074,0.7127126886765865,522472717.5427754
base,target,target,38,10,3840,108302.8246738418,21494.09234629089,0.19846289707605683,31347.104139611198,0.020248286396028402,0.9907888650973581,0.006348014777302686,0.009211134902641915,1.906349220343009,1.0843955206666116,0.4709469908261131,0.709651572925004,599514152.7358738
base,target,target,39,10,3840,115659.08588874449,22780.078251123814,0.1969588301349413,33191.890432717715,0.021321432383790136,0.9902998736148467,0.0071112172213621035,0.009700126385153274,1.981398257358044,1.1228024647266595,0.4876269146981587,0.6939883623844094,669683051.2672184
base,target,target,40,10,3840,126216.56481545503,24603.215518852285,0.19492857815315584,35805.54961393078,0.022630361136629952,0.9897056502758865,0.007583492172254917,0.010294349724113472,2.1222956379945015,1.1812113271168547,0.5129935613284669,0.6649632974955957,769370650.3783876
base,target,target,41,10,3840,142946.37799147476,24603.365737449847,0.1721160485711445,36304.106505056065,0.020494008181185398,0.9907042651976757,0.0059768254911358835,0.009295734802324263,2.5873789376195107,1.337205324581285,0.5807408936372987,0.5810565585273318,771356786.9029483
base,target,target,42,10,3840,155835.26425306767,28354.38319939308,0.18195100663061195,41663.41451210282,0.0213593848257456,0.9903006432078276,0.0070952294775445445,0.009699356792172376,2.333086559612199,1.2610977529405796,0.5476877952426841,0.6256919343263637,1025122573.7709737
base,target,target,43,10,3840,161680.54391561588,29180.274280401056,0.18048104969037457,43041.87711472678,0.023006127536865408,0.9895519701113867,0.0075798404496702386,0.010448029888613264,2.5208140628917666,1.3188838616802598,0.5727839833989884,0.5926953833534553,1089312631.2347095
base,target,target,44,10,3840,173798.58609924366,32567.032397300965,0.18738375914464755,47699.523867063785,0.023870848192947325,0.98914617617886,0.008744927507184598,0.010853823821139974,2.3164011494695385,1.2519611403168194,0.5437198147968973,0.628583521734485,1356446133.6958206
base,target,target,45,10,3840,185563.27417088178,33950.73787635878,0.18296043777010623,49525.49948096027,0.024812134669873507,0.9887180123908227,0.009246071575712538,0.011281987609177313,2.4148092149731624,1.2998465917039093,0.5645162020977569,0.614224384949219,1449221792.1107955
base,target,target,46,10,3840,194242.29972257867,33412.93439167694,0.17201677718703942,48370.89257362957,0.0240345216388281,0.9890909104224599,0.008102702708922988,0.01090908957754011,2.7314006952508194,1.4172722465393344,0.6155135160266579,0.5701022345252245,1329170111.429297
base,target,target,47,10,3840,214712.465627835,34210.030611766146,0.15932950381680686,49311.54922873571,0.021150772639666904,0.9904166179910799,0.006518075719491933,0.00958338200892006,3.029712025109726,1.5030551017995712,0.6527685367080842,0.5332505161060114,1349298910.047675
base,target,target,48,10,3840,118.92450487839096,84.51980589702667,0.7107013477453925,126.08189789065072,0.38437763348265835,0.8078148419797909,0.13932204335861784,0.19218515802020908,4.308253647864816,1.6668925977959155,0.7239222571481426,0.3390188250291948,9070.874576485665
