model_tag,condition,condition_family,layer,n_points,centroid_norm,abs_disp_l2_mean,rel_disp_l2_mean,pairwise_l2_mean,pairwise_cosine_distance_mean,cos_to_centroid_mean,cos_to_centroid_std,angular_disp_to_centroid,centroid_to_global_l2,centroid_to_global_cosdist,effective_rank_pr,spectral_entropy,spectral_entropy_norm,top1_pc_variance_share,cov_trace,centroid_to_question_only_l2,centroid_to_question_only_cosdist
instruct,target_sentence_shuffle,target_shuffle,18,10,29940.43280540851,2695.8123513971987,0.0900391911138379,3956.7238901630853,0.0023341907580165175,0.9989476176166404,0.00046409956470856375,0.0010523823833595847,378.4143354433811,3.195703312486309e-05,1.4539683480269163,0.7869259776894851,0.3417576097768648,0.8259700853345634,9729669.666856647,715.3135742996038,0.00028160229912654877
instruct,target_sentence_shuffle,target_shuffle,19,10,36240.71825766458,3578.1876642141797,0.09873390584518633,5265.224359008512,0.0019790358911177417,0.9991074081306968,0.0003895269710638297,0.0008925918693032386,270.7734971401555,2.7739659032133268e-05,1.2705067207397769,0.5671156120006892,0.24629518089308486,0.8857912782146673,18576478.516728193,1089.3809466797636,0.000260051582405052
instruct,target_sentence_shuffle,target_shuffle,20,10,39608.275667847985,4080.334071938933,0.10301721049803599,6500.762115168946,0.0019519082267678734,0.9991191116555971,0.00037807799610633136,0.0008808883444029192,307.1790312733993,2.958196193292295e-05,1.188796523489044,0.44142421487582756,0.19170810069904723,0.9164260402338893,30258045.1935136,1586.2069737253341,0.0002736274518138071
instruct,target_sentence_shuffle,target_shuffle,21,10,44294.1857457687,4241.0587934018085,0.0957475280783764,6496.933123525907,0.001940781932396756,0.9991248014544496,0.00037753824912354256,0.0008751985455504041,467.4374301704544,2.754958033046595e-05,1.2695654319335055,0.5647079088021653,0.24524952867990513,0.8861173581513467,27703070.42908825,1010.9000236412547,0.0002538038984620794
instruct,target_sentence_shuffle,target_shuffle,22,10,51261.31819213524,6275.13084275121,0.12241454305234725,8605.902945673159,0.0020641289327247084,0.9990677521850744,0.0004547383365864859,0.0009322478149256241,573.4478347293384,2.871695350448178e-05,1.1782614733266765,0.42676085313649464,0.18533988360950368,0.9206445770677079,53076898.39974288,1151.7564419493235,0.0002510203398072841
instruct,target_sentence_shuffle,target_shuffle,23,10,58699.85713577078,7440.351251242772,0.12675245927828227,10238.191177120887,0.002298715767931634,0.9989615788040119,0.000464165828451538,0.0010384211959880707,791.2777245857321,3.7539165838484934e-05,1.1920249904618725,0.4492744300380796,0.19511740582576653,0.9152005881562162,73207721.9272464,2113.251025226207,0.0003788267015925051
instruct,target_sentence_shuffle,target_shuffle,24,10,62149.46224256492,8670.949031328984,0.13951768395817954,11991.973201458428,0.0029158896054275562,0.9986806467204918,0.0006613760411676625,0.001319353279508162,1711.6060897467469,5.220855121235157e-05,1.1862816137361323,0.4415250448528978,0.19175189060169925,0.9174934756983842,97153662.2816239,3536.9257540750177,0.00045594078480881706
instruct,target_sentence_shuffle,target_shuffle,25,10,64676.30974259438,8470.116551679097,0.13096165482213445,11658.47140441213,0.003378734896105589,0.998472064158802,0.0006854715166920223,0.001527935841198036,1187.1236192155689,5.6916557130914924e-05,1.2618602434700947,0.555557784181501,0.24127568004842356,0.8889245982750752,92702982.894328,2533.8152722979844,0.0004934973865712289
instruct,target_sentence_shuffle,target_shuffle,26,10,66722.1922357457,8735.351878325548,0.1309212360328544,12360.31968719418,0.003998660582017892,0.9981909830617799,0.0008223765270810712,0.0018090169382201093,1340.1625145304456,6.595951184718007e-05,1.3038159026737262,0.6110671198181954,0.2653830782095554,0.874040537039344,104070466.89824325,3039.5569258349565,0.0006263214114787807
instruct,target_sentence_shuffle,target_shuffle,27,10,67342.18658359704,10101.946848589545,0.15000918979738237,14562.27459365464,0.005626364222586713,0.9974485385981939,0.0012621620804826206,0.0025514614018060655,1382.0749797054063,7.408702565236958e-05,1.3050474760187178,0.6094076113738763,0.26466236284951583,0.8735428664947575,148369655.06606364,3965.7401063698103,0.0007034751381709281
