condition,layer,n_points,linear_cka_base_instruct,same_prompt_delta_l2_mean,same_prompt_delta_l2_std,same_prompt_cosdist_mean,base_norm_mean,instruct_norm_mean,instruct_over_base_norm_mean
target,32,10,0.881788383835493,10233.460804275648,4547.109462878616,0.0035680208480771023,76423.73136048105,68293.10645747987,0.8967174733268578
target,33,10,0.8932989482526179,10280.082981840547,4473.336104518923,0.004010322643114161,77777.512458445,70081.47301058474,0.9050907108491094
target,34,10,0.908511635727608,10697.220060385105,4334.601711638384,0.004549904054557419,81293.58553610733,73719.49904430933,0.9107483179526421
target,35,10,0.8820533086577613,13401.420477504304,5448.44322439299,0.004552566867378605,91429.25122598151,80952.2494639602,0.8894234388598765
target,36,10,0.9083483563770973,14308.407321221672,5522.974325777543,0.005599108128226749,92736.46523689986,82008.79094558996,0.8901895964790809
target,37,10,0.9296282653800816,18018.977399803858,6321.900062864855,0.005801992097694164,102245.364084245,87625.4798312627,0.8645121248580565
target,38,10,0.9236144148481131,20252.67581170579,7044.488722047181,0.005953935332586835,109218.2447263475,92387.4148603177,0.8535407259712902
target,39,10,0.9291809404018987,22592.701929019022,7361.340397450597,0.006205437201373398,116686.85747015972,97655.48369078609,0.8439521988081566
target,40,10,0.9332883555243372,24856.915351436804,7717.640006051286,0.0064312387900193665,127419.31357682965,106334.89314322294,0.8398156720056574
target,41,10,0.9232296471016737,26694.341171710672,7734.917065700999,0.005830259471396715,144229.4878138924,121648.0721449259,0.8469500705356052
target,42,10,0.9330986393983409,31845.931507333422,8563.398283039507,0.0061126388726425954,157263.89514091966,129417.73032960916,0.8257165317144344
target,43,10,0.9471482429961715,32889.49265683475,7637.056774924472,0.006781563726676409,163284.60198664182,134997.85884717738,0.8282132239925302
target,44,10,0.9558842277238991,35302.252498721944,7299.966747381638,0.007104331839763933,175550.31127110362,145265.84924180107,0.8271365343570054
target,45,10,0.9610160913829114,35126.333738839756,7129.863556327659,0.0073887692504172485,187499.67844403526,158747.72323797355,0.8453783864032272
target,46,10,0.9690318567251373,30685.37272340779,5915.713994377208,0.007259540416980281,196244.68443824208,175016.88970278008,0.889257880423056
target,47,10,0.9195698436857561,29591.953817693244,7488.338837224577,0.006528613052459065,216699.66037843417,201520.900962225,0.9293210794457927
target,48,10,0.983957457948455,71.94358271050325,7.441914046537615,0.12224105771609912,147.7618842500003,141.4878046623875,0.9580755613348588
target_word_shuffle,0,10,0.9999061243924283,8.606240060749366,3.0260165899570364,0.011692187141725974,59.82423624170758,59.59164820557362,0.9961123903049994
target_word_shuffle,1,10,0.9952510561755805,112.40389171200061,29.254083059021333,0.008895015082349855,903.7093516236118,865.5607026278749,0.9344716679034322
target_word_shuffle,2,10,0.99375065268405,123.80225348729559,15.54560212668715,0.008832949292733937,881.0544367458948,865.3664492668106,0.9631716449037725
target_word_shuffle,3,10,0.9898754095484894,148.81517306993317,38.72500878582223,0.012337326100310065,925.0514644043435,826.5852382953748,0.8876765795097992
target_word_shuffle,4,10,0.9944920100485187,154.77584143304946,26.220730086658385,0.015444460347506184,779.5175069182625,683.1722794110595,0.8767471458232106
target_word_shuffle,5,10,0.9976187244544681,138.312452799282,22.134390175189388,0.005834640072687858,1081.2929684370395,1000.9267666712325,0.9254305049218153
target_word_shuffle,6,10,0.9798326468293573,207.6032279135955,92.59489331406299,0.008295522203171046,1213.5552636013224,1090.1393567314578,0.9110953230128039
target_word_shuffle,7,10,0.9851591579089847,204.6093362220173,67.7254795751244,0.010307095774682673,1234.6042361080613,1122.36847377196,0.9166792658650745
target_word_shuffle,8,10,0.988669376555033,251.52099390734648,104.97948540031186,0.003738193038501825,2083.9229944790113,1907.0206730912155,0.9196480454780211
target_word_shuffle,9,10,0.9739832347763995,454.1982010720274,204.18267286275946,0.0018494758894983642,3302.7405762439494,2892.5812853494012,0.8817435886316053
target_word_shuffle,10,10,0.9687272283591303,460.17862346598105,325.7389465566985,0.0021107229991224165,3538.5213464814115,3174.893480167719,0.9149714782864857
target_word_shuffle,11,10,0.9442098510577606,606.6860686600118,268.7084120660229,0.0008762464767757882,6489.7297370356255,5977.373784356436,0.9204455823315272
target_word_shuffle,12,10,0.8955027716600411,997.2704260051923,520.3447343553938,0.001105591555396479,7100.396510135584,6162.032837892888,0.8711810848140147
target_word_shuffle,13,10,0.7707606527301429,1098.4785813028107,585.3521517739471,0.0012757090367910395,7837.3440271758645,6884.299954874514,0.8800177757573842
target_word_shuffle,14,10,0.7891492722692465,1561.2901567730833,709.7541725712765,0.0005563152939785821,13670.347863426781,12188.92843418627,0.8924431806762915
target_word_shuffle,15,10,0.8464363840416208,1804.5623445784354,760.7317140737897,0.0004068255005698296,18448.722871211678,16725.055033358214,0.9066366955143688
target_word_shuffle,16,10,0.7827318107619428,2371.5715841239116,1050.5362908232037,0.0003723817499855286,23092.120759232144,20812.629645239504,0.9017848414436438
target_word_shuffle,17,10,0.690195754047632,2361.8516417340843,1393.855086063033,0.00039735477956259757,26243.288327459893,24054.445250181518,0.9181657484784174
target_word_shuffle,18,10,0.6449106639502201,2272.0735188671742,1422.4311516975863,0.0004452285001624423,30971.789262241044,29434.26549799159,0.9534248092605109
target_word_shuffle,19,10,0.7246741194893762,2292.448171455317,1071.7998733930274,0.00040132805922303837,36184.65663990041,36502.684864003095,1.0071776927948786
target_word_shuffle,20,10,0.7769927603923705,2954.1684233231495,1489.5152093970848,0.00045392530989913916,38312.833884755295,39885.887222634905,1.0385008939079343
target_word_shuffle,21,10,0.5353245765160448,3866.287014425566,1623.3372162716325,0.00045577292123775146,41821.17212060253,43704.50943873216,1.0441094784684295
target_word_shuffle,22,10,0.7971908723831659,4642.317127347096,1774.620791143703,0.0005101622157073326,46743.73283370389,50102.18791597875,1.0698333146047836
target_word_shuffle,23,10,0.8527418188789074,4712.071995031076,2030.6262078810644,0.0005887972883100833,54421.21597974385,57553.6999364556,1.0555339445079088
target_word_shuffle,24,10,0.9501434444502171,3069.6463496009214,793.0874771799425,0.0008097424871671866,59399.09555575541,59591.538694636416,1.0049007731913222
target_word_shuffle,25,10,0.8949856592850592,4187.891544216033,1515.690252831058,0.0009133060971917462,63264.165401383,62315.470884549766,0.9889171054140171
target_word_shuffle,26,10,0.9265172120102626,3769.8148808593046,1416.0352334808576,0.001050505551182046,63589.14416099018,63896.80348552626,1.0074108595763098
target_word_shuffle,27,10,0.949128082514082,4347.3957881370425,1363.686149288771,0.0013302582034729227,65816.0038593377,64898.89608186875,0.9895573836911955
target_word_shuffle,28,10,0.9288742987611268,5553.605973786532,1743.3365842413773,0.0016861879716448369,67461.61663806761,64173.12131465549,0.9528180595670828
target_word_shuffle,29,10,0.9294228551174313,6980.237792799894,2361.8099641804965,0.002033990241490924,71545.9731657585,66545.90647291362,0.9315947170603419
target_word_shuffle,30,10,0.9339904063945508,7379.76174753691,2719.8395515524426,0.002537630726319906,70537.93908499044,65383.019297133585,0.9295397214131371
target_word_shuffle,31,10,0.9264955049329037,11015.59228803985,4214.148979921463,0.0031134412214367303,72476.72267843396,62940.59893744653,0.8721653184177199
target_word_shuffle,32,10,0.9313637395456864,11645.258601043266,4340.49009509515,0.0036472408767284524,73771.01224285457,63815.31942480719,0.86948514409974
target_word_shuffle,33,10,0.9343691108767265,11978.380292756445,4645.311764312384,0.004062782695627887,75300.54306632609,65314.3663124967,0.8734762783966868
target_word_shuffle,34,10,0.9369634250023435,12459.851779733825,4680.949769329849,0.004629258768816469,78471.81943777917,68420.84194932891,0.8777742077520185
target_word_shuffle,35,10,0.8848356739191731,14742.696485819735,5707.873861976056,0.004519944810351539,87936.41517113913,75747.81414380352,0.8672603835553744
target_word_shuffle,36,10,0.9032694733698877,16263.75323204297,5778.7690546206495,0.005475519639295612,89531.23445696243,76119.67389807271,0.8568635663976594
target_word_shuffle,37,10,0.9145740314920685,21330.075645569123,7122.628025329305,0.00592212377935718,98471.05655379579,79697.03610272883,0.81752511458966
target_word_shuffle,38,10,0.9037336950785964,23852.438612047474,7942.518598728623,0.006026709949192399,104817.57002397445,83568.92248882705,0.806133319574681
target_word_shuffle,39,10,0.900882746699674,26050.207934261256,8408.35797224297,0.006214987723000376,111720.97394759716,88469.64019335264,0.8004782900466048
target_word_shuffle,40,10,0.9039386309521039,29138.118789303768,8817.512786480258,0.006513978743645255,121976.81855473128,95763.3593049798,0.7920597290972796
target_word_shuffle,41,10,0.8700911759038452,30732.74793925153,8882.73039416221,0.005785782399545025,137849.18884320653,110294.87092568085,0.8047842004179298
target_word_shuffle,42,10,0.893000363465017,37387.3637548482,9938.085516339861,0.006222317729997795,150550.74665065508,116282.24631598245,0.777031381905142
target_word_shuffle,43,10,0.9164281724738875,38536.32353634948,8792.314124021012,0.007065180490258005,156235.64713889494,121323.82886103545,0.7796303621648185
target_word_shuffle,44,10,0.9430012859065932,42886.94925726841,8377.013730576851,0.00765999931517124,168575.01155333506,129610.20060096003,0.7709734771261916
target_word_shuffle,45,10,0.9563092266924117,43498.53967163056,7634.719735282274,0.007785926289143319,181688.89224954788,142891.70518871295,0.7875317981850971
target_word_shuffle,46,10,0.9506300967220659,37109.55223569417,6987.992610839766,0.007463382296316712,191242.49124325957,160746.03504206156,0.8402018638670805
target_word_shuffle,47,10,0.8887382243710528,36194.90350005209,10590.441352364269,0.006559145101039043,213519.04421794548,186227.88073744252,0.8738982674828051
target_word_shuffle,48,10,0.9772454929148094,75.29152894381784,13.412581804072243,0.128544659270705,140.8237390525212,147.92585849828683,1.054507496376933
target_sentence_shuffle,0,10,0.9999061243924283,8.606240060749366,3.0260165899570364,0.011692187141725974,59.82423624170758,59.59164820557362,0.9961123903049994
target_sentence_shuffle,1,10,0.9964187113311093,111.84016830691573,31.31808388991292,0.008812992711440504,910.5407437910746,866.2562001864313,0.9302169207632234
target_sentence_shuffle,2,10,0.9956988198176446,120.9713297462821,18.625636465130984,0.008482655597484557,906.8227722816058,880.3140121800488,0.953465767599649
target_sentence_shuffle,3,10,0.989688672124822,162.2194878014127,36.87910535554108,0.013222668426802009,929.3548729994715,817.6400796580459,0.8754709089998318
target_sentence_shuffle,4,10,0.9934871885914173,173.40225745753014,26.69007827561189,0.016533587747248467,800.9580039525108,686.9454807110855,0.859085243225563
target_sentence_shuffle,5,10,0.996966241074882,137.57983491629153,22.176745307752146,0.0063136220106406295,1087.0207571524818,1014.9950055879392,0.9336810591619976
target_sentence_shuffle,6,10,0.9907383869944102,184.61404522775203,76.00284100371105,0.007061212142861917,1218.1834008003839,1116.7269469157477,0.9240639616048181
