model_tag,layer,n_target,n_control,target_control_centroid_l2,target_control_centroid_cosdist,target_control_projection_gap,target_control_projection_gap_z,target_control_axis_auc_like,target_to_question_centroid_l2,control_to_question_centroid_l2,target_minus_control_to_question_l2,target_to_question_cosdist,control_to_question_cosdist,loo_question_balanced_acc,loo_question_auc_like,loo_question_projection_gap,loo_question_folds
instruct,7,10,10,53.65163271859006,0.0013002015673658773,53.65163271858901,1.050157225458463,0.375,192.14850417647486,193.53968703129598,-1.3911828548211247,0.014043355410717218,0.014182717395174516,0.55,0.35,14.577018404213954,10
instruct,8,10,10,73.32060468351953,0.0006454542819352982,73.32060468351813,0.2919416505604669,0.335,193.93094776707127,202.3446904251051,-8.41374265803384,0.004883200489811279,0.004924272019058873,0.45,0.45,34.203817489884045,10
instruct,9,10,10,98.1326247674705,0.00038296002041926513,98.132624767469,0.2639200902325465,0.31,306.9233054557107,261.0927891613661,45.83051629434459,0.002500219475082832,0.002365085631860997,0.5,0.5,79.4748810005668,10
instruct,10,10,10,95.49271564768648,0.00048327468124576,95.49271564768503,0.3491103178422703,0.34,401.2376455325646,420.7487689262538,-19.51112339368916,0.0022945058227672455,0.002329825760589488,0.5,0.45,34.937598378655196,10
instruct,11,10,10,118.78138798035116,0.00018424439774289425,118.78138798035002,0.48429626127939196,0.345,480.1884277083857,462.84867977496197,17.339747933423723,0.00083790723582855,0.0008513178711090363,0.5,0.45,32.68282338027448,10
instruct,12,10,10,154.39330448636497,0.0002810247734429394,154.39330448636383,0.3764394519928982,0.335,594.6248789039614,624.7449205789733,-30.120041675011862,0.0009863496158936114,0.0009275661303236316,0.55,0.4,16.66657355695146,10
instruct,13,10,10,218.89787061482653,0.0003538709006135621,218.89787061482411,0.26634463864528496,0.3,942.7315220254375,837.2897894959066,105.4417325295309,0.0010645430350538776,0.000994845250957166,0.6,0.35,64.74389775769173,10
instruct,14,10,10,609.8350724543284,0.00014825782087735107,609.8350724543307,0.33379045523737216,0.32,592.6489515715142,1089.3501028791409,-496.7011513076267,0.0004221068646886872,0.0004317586630424586,0.55,0.5,588.6192442523852,10
instruct,15,10,10,792.5153704929631,0.00011588184372612886,792.5153704929471,0.33020719474824584,0.29,771.0163250722737,1447.860679606711,-676.8443545344373,0.000309006618141483,0.00031672832481732804,0.5,0.45,762.389311884627,10
instruct,16,10,10,539.5160769213129,9.884250141978246e-05,539.5160769213107,0.2966833308602852,0.295,703.5204867426722,1064.5425252871437,-361.02203854447146,0.0002585749149774941,0.0002558721694325694,0.6,0.4,473.4895963834268,10
instruct,17,10,10,364.31274758821274,8.785980553982498e-05,364.31274758820655,0.3638786248786666,0.33,771.0145685500569,675.9578394513846,95.05672909867224,0.0003019814740959914,0.00029070425192134763,0.7,0.35,20.511159752121262,10
instruct,18,10,10,919.7353353579549,0.00012548252528588044,919.7353353579383,0.3480670212341536,0.32,741.2171849869007,1191.5577025745774,-450.3405175876767,0.00028928994146359965,0.0002752780093203677,0.6,0.35,814.947514837906,10
instruct,19,10,10,1222.8906350675495,0.0001124497566312721,1222.8906350675934,0.3161783364943904,0.325,1014.5267635775651,1855.880112603955,-841.3533490263899,0.00026625678448699563,0.00026607223688079884,0.55,0.5,1137.0599858359583,10
instruct,20,10,10,1564.3973946467904,0.00011944340588598834,1564.3973946467959,0.33414426964839844,0.3,1543.7339454321711,2813.2811551430873,-1269.5472097109161,0.00028100296038058303,0.0002734131921457994,0.5,0.4,1454.8405903626149,10
instruct,21,10,10,1294.9594081120763,0.00010797975912701929,1294.9594081120667,0.29119229607500763,0.29,1028.7026588575113,1613.565511397546,-584.8628525400347,0.00026097415171622007,0.0002372393418960117,0.5,0.4,1087.7366997004926,10
instruct,22,10,10,1516.5472043821173,0.00010374053353701118,1516.5472043821137,0.22663189642176604,0.315,1167.6135787466544,1627.5231564246103,-459.9095776779559,0.00025608132226684344,0.00022354170694682818,0.5,0.45,1327.1106442033918,10
instruct,23,10,10,1240.2323000649417,0.00012208049210649108,1240.2323000648976,0.20653450343796972,0.325,2255.3759718325377,1654.7081936930767,600.667778139461,0.00038014156360577367,0.00032710052844697746,0.5,0.35,810.6830342905799,10
instruct,24,10,10,2738.1114725124294,0.00018231235033205895,2738.111472512399,0.29106884352179935,0.35,3634.2865916287274,1759.0598096774468,1875.2267819512806,0.0004643646998128137,0.0003778499284796677,0.55,0.5,2568.053196476181,10
instruct,25,10,10,2105.734143395885,0.00019474624179061095,2105.734143395879,0.25672293731412416,0.34,2818.4443513605506,1881.8472038649636,936.597147495587,0.0004898642998294456,0.00043110409809243855,0.5,0.5,1773.437452483545,10
instruct,26,10,10,2436.6493858790536,0.00023751754385081814,2436.64938587902,0.2790821799961859,0.34,3547.1972427363603,2266.635965213725,1280.5612775226355,0.0006398632247732738,0.0005506564029794658,0.5,0.45,2101.5773854415047,10
instruct,27,10,10,2341.0268669069064,0.0002746059277212165,2341.026866906919,0.25017011975783376,0.325,4792.0757486954235,3259.2681683754436,1532.80758031998,0.0007461864271223195,0.0006104138756004573,0.55,0.45,1869.2387311371688,10
instruct,28,10,10,2390.65443462362,0.0003581393570593061,2390.654434623604,0.3230985121699642,0.365,5216.257512470059,3762.372209857752,1453.885302612307,0.0009848626542696692,0.0008008728811055299,0.55,0.45,1771.9775450758054,10
instruct,29,10,10,2688.2866820219765,0.0004233615728268525,2688.2866820219497,0.36639865291638934,0.345,6088.888330914681,4415.709743914843,1673.1785869998384,0.0011604492039526404,0.0009357614299310146,0.5,0.4,1996.7370624331786,10
instruct,30,10,10,2869.5793768081776,0.000537332207105834,2869.5793768082003,0.4115963498131442,0.365,5897.452809257727,4292.038531872854,1605.4142773848725,0.0013604206693976773,0.001131599310222109,0.5,0.4,2099.8109211608894,10
instruct,31,10,10,2563.6882896572056,0.0005870196809258932,2563.688289657195,0.4907445905021514,0.355,5992.1115602152695,4877.799712977467,1114.3118472378028,0.0015264141780206852,0.0012894051864659195,0.55,0.4,1530.4965597843734,10
instruct,32,10,10,2879.55871199416,0.000685899899463549,2879.5587119941556,0.5053628860194233,0.33,6352.358504905058,5037.852035279195,1314.5064696258632,0.0017018209944693607,0.0014649935843449313,0.5,0.4,1907.908854182729,10
instruct,33,10,10,2767.7772484165016,0.0007232376509015426,2767.777248416518,0.7649553906071388,0.35,7353.030016923548,6428.51632241995,924.5136945035983,0.0018307368491166098,0.0015364813751658213,0.55,0.45,1503.9132048677234,10
instruct,34,10,10,3160.237479727117,0.0007848515802340028,3160.237479727097,0.6486550833501776,0.335,8352.251192919712,7011.333108915414,1340.9180840042973,0.0020009271618299795,0.001669145151140916,0.5,0.45,1872.01896905901,10
instruct,35,10,10,3177.0044953523256,0.0007382762347847294,3177.0044953523247,1.0303154910234424,0.375,8030.049816183084,7088.126159436173,941.9236567469106,0.0019376860922549755,0.001608166343937234,0.65,0.45,1679.3218832100697,10
instruct,36,10,10,3504.061530880772,0.0008468049184799931,3504.0615308807755,0.9026902434267357,0.37,8241.724480368483,7140.202321421312,1101.5221589471703,0.002207766030190128,0.001940115313635804,0.55,0.45,1819.4593896901501,10
instruct,37,10,10,4125.496866273696,0.0008655118817610941,4125.496866273701,0.6113144182658137,0.33,9943.803223683486,8043.05766822871,1900.745555454776,0.0022362546269776296,0.001991066280387699,0.55,0.35,2363.5577491899026,10
instruct,38,10,10,4625.5900480880655,0.0008596946854088072,4625.590048088037,0.5570429262349689,0.32,10000.189207570707,7645.3070376812375,2354.88216988947,0.0021878233016631166,0.0019686210162386253,0.55,0.4,2876.5384216356692,10
instruct,39,10,10,4978.688820205886,0.0008717828491431323,4978.688820205869,0.5716791674658102,0.325,10604.170502266024,8061.0841782349235,2543.086324031101,0.0022242203367607294,0.0020319721565652538,0.5,0.4,3105.7549696914966,10
instruct,40,10,10,5571.103334804313,0.0008579099054811801,5571.103334804284,0.579295948807488,0.325,11934.239385543422,8927.627740642109,3006.6116449013134,0.002236960493339768,0.0020737365648896278,0.6,0.4,3600.4718355563737,10
instruct,41,10,10,5841.285062036099,0.0007340255824781483,5841.28506203607,0.6860183969311213,0.345,13022.591741291793,9893.629390986931,3128.9623503048624,0.0019952943189497363,0.0018456592193265564,0.6,0.4,3823.481711733047,10
instruct,42,10,10,7151.434381866207,0.0007977414906272795,7151.434381866275,0.5808856722940584,0.335,15561.41432895599,11065.871944700806,4495.5423842551845,0.002078693438282375,0.001880914351526819,0.55,0.5,5261.925433354432,10
instruct,43,10,10,7398.427256885043,0.0008752717949938038,7398.427256885043,0.6060388389896572,0.335,17082.456524566976,12643.987923735476,4438.4686008315,0.0022191331766069355,0.0020407115207882187,0.55,0.5,5357.466900654483,10
instruct,44,10,10,8283.828679607055,0.0008850185593144433,8283.82867960706,0.5067446612035087,0.34,20527.06999134135,15104.525286136695,5422.544705204653,0.00227141954559984,0.0020074819161327584,0.5,0.5,6203.605988574173,10
instruct,45,10,10,9308.266199020372,0.0009569483620710528,9308.26619902045,0.5452305374841948,0.35,21954.48029083596,16013.249808444572,5941.230482391387,0.0024223951905998353,0.002140217153208779,0.55,0.5,7211.107229917888,10
instruct,46,10,10,8882.677566939854,0.0009488835874986723,8882.677566939805,0.6448833394500757,0.35,19725.84672918984,15398.400589432262,4327.44613975758,0.0028414145736317398,0.0024336702343055183,0.6,0.5,6322.595369346554,10
instruct,47,10,10,9869.469899238236,0.0008471351150750595,9869.469899238218,0.6886414629490079,0.345,27326.91791199907,21867.377606859693,5459.540305139377,0.002650608855971126,0.0022533082276667837,0.55,0.5,7059.028780649567,10
instruct,48,10,10,25.243578938159793,0.027093548903495468,25.24357893815879,2.3539524765208752,0.5,42.68539038102283,37.29768522004305,5.3877051609797775,0.06425089696686048,0.05010561727777141,0.7,0.5,12.108196297700292,10
